chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
1	835000	840000	1	890000	895000	167	178	0	0	0.4424255867	0.0000000000	0.0000000000
1	915000	920000	1	995000	1000000	183	199	0	0	0.6540741541	0.0000000000	0.0000000000
1	915000	920000	1	1050000	1055000	183	210	0	0	0.4063236269	0.0000000000	0.0000000000
1	915000	920000	1	1230000	1235000	183	246	0	0	0.3970979027	0.0000000000	0.0000000000
1	965000	970000	1	1230000	1235000	193	246	0	0	0.4253829326	0.0000000000	0.0000000000
1	970000	975000	1	1055000	1060000	194	211	0	0	0.3308217134	0.0000000172	0.0000000200
1	965000	970000	1	1185000	1190000	193	237	0	0	0.3392341265	0.0000000023	0.0000000030
1	1055000	1060000	1	1225000	1230000	211	245	0	0	0.5728615704	0.0000000000	0.0000000000
1	1270000	1275000	1	1435000	1440000	254	287	0	0	0.5611236484	0.0000000000	0.0000000000
1	1330000	1335000	1	1440000	1445000	266	288	0	0	0.3977670698	0.0000000000	0.0000000000
1	1450000	1455000	1	1825000	1830000	290	365	0	0	0.3158796590	0.0000000318	0.0000000355
1	1465000	1470000	1	1495000	1500000	293	299	0	0	0.4769596625	0.0000000000	0.0000000000
1	1505000	1510000	1	1825000	1830000	301	365	0	0	0.3111050153	0.0000000528	0.0000000574
1	1560000	1565000	1	1825000	1830000	312	365	0	0	0.4418536033	0.0000000000	0.0000000000
1	1580000	1585000	1	1645000	1650000	316	329	0	0	0.5664728404	0.0000000000	0.0000000000
1	1715000	1720000	1	1825000	1830000	343	365	0	0	0.5608882686	0.0000000000	0.0000000000
1	1680000	1685000	1	1700000	1705000	336	340	0	0	0.3663867024	0.0000005044	0.0000005162
1	1850000	1855000	1	2130000	2135000	370	426	0	0	0.4854900580	0.0000000000	0.0000000000
1	1850000	1855000	1	2325000	2330000	370	465	0	0	0.4234351563	0.0000000000	0.0000000000
1	1845000	1850000	1	2475000	2480000	369	495	0	0	0.3653584577	0.0000000001	0.0000000001
1	1850000	1855000	1	2520000	2525000	370	504	0	0	0.3262794064	0.0000000102	0.0000000122
1	1865000	1870000	1	1900000	1905000	373	380	0	0	0.3329311117	0.0000000773	0.0000000824
1	1885000	1890000	1	1970000	1975000	377	394	0	0	0.4660327550	0.0000000000	0.0000000000
1	1960000	1965000	1	2095000	2100000	392	419	0	0	0.3447497571	0.0000000012	0.0000000016
1	2010000	2015000	1	2090000	2095000	402	418	0	0	0.3136550510	0.0000000403	0.0000000445
1	2070000	2075000	1	2110000	2115000	414	422	0	0	0.3654198215	0.0000000014	0.0000000018
1	2125000	2130000	1	2315000	2320000	425	463	0	0	0.8659604484	0.0000000000	0.0000000000
1	2125000	2130000	1	2460000	2465000	425	492	0	0	0.4987201012	0.0000000000	0.0000000000
1	2125000	2130000	1	2515000	2520000	425	503	0	0	0.4376479611	0.0000000000	0.0000000000
1	2125000	2130000	1	2575000	2580000	425	515	0	0	0.3149626455	0.0000037917	0.0000038257
1	2155000	2160000	1	2240000	2245000	431	448	0	0	0.4581485023	0.0000000000	0.0000000000
1	2255000	2260000	1	2305000	2310000	451	461	0	0	0.4801756685	0.0000000000	0.0000000000
1	2345000	2350000	1	2470000	2475000	469	494	0	0	0.5923755124	0.0000000000	0.0000000000
1	2350000	2355000	1	2575000	2580000	470	515	0	0	0.5700846088	0.0000000000	0.0000000000
1	2350000	2355000	1	2700000	2705000	470	540	0	0	0.7646379637	0.0000000000	0.0000000000
1	2355000	2360000	1	3335000	3340000	471	667	0	0	0.5604114896	0.0000000000	0.0000000000
1	2365000	2370000	1	3205000	3210000	473	641	0	0	0.3405338730	0.0000000020	0.0000000026
1	2445000	2450000	1	2700000	2705000	489	540	0	0	0.3951987033	0.0000000143	0.0000000168
1	2475000	2480000	1	2575000	2580000	495	515	0	0	0.4855550531	0.0000000000	0.0000000000
