BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	865000	870000	chr1	1515000	1520000	0.12596001626751963	2.599207668339954
chr1	930000	935000	chr1	1800000	1805000	0.18804709717307475	2.111212657236631
chr1	980000	985000	chr1	1060000	1065000	0.03201555269722544	2.111212657236631
chr1	985000	990000	chr1	1295000	1300000	0.02550649189335485	2.111212657236631
chr1	1035000	1040000	chr1	1295000	1300000	0.02295300433291843	3.6758347359905126
chr1	1030000	1035000	chr1	1620000	1625000	0.02251408974232138	2.111212657236631
chr1	1120000	1125000	chr1	1290000	1295000	0.002012674085421871	2.111212657236631
chr1	1125000	1130000	chr1	1245000	1250000	0.008521875812247127	2.599207668339954
chr1	1340000	1345000	chr1	1500000	1505000	0.09854401343880205	2.599207668339954
chr1	1640000	1645000	chr1	1715000	1720000	0.011011211233086241	3.2
chr1	1695000	1700000	chr1	1745000	1750000	0.0025349192422146494	2.111212657236631
chr1	1700000	1705000	chr1	1900000	1905000	0.11556594752716638	2.111212657236631
chr1	1750000	1755000	chr1	1900000	1905000	0.041553435359411826	2.111212657236631
chr1	1785000	1790000	chr1	1895000	1900000	0.005275046666772253	3.6758347359905126
chr1	1915000	1920000	chr1	2200000	2205000	0.02965468661711239	2.111212657236631
chr1	1915000	1920000	chr1	2385000	2390000	0.07262612004311825	2.599207668339954
chr1	1915000	1920000	chr1	2535000	2540000	0.053326879719453754	2.111212657236631
chr1	1915000	1920000	chr1	2585000	2590000	0.09119973651054407	3.2
chr1	1940000	1945000	chr1	3425000	3430000	0.04136552084405271	3.6758347359905126
chr1	2180000	2185000	chr1	3420000	3425000	0.03657406268709314	4.222425314473262
chr1	2190000	2195000	chr1	2640000	2645000	0.12602950469559285	2.111212657236631
chr1	2210000	2215000	chr1	2305000	2310000	0.07108328306662555	3.6758347359905126
chr1	2195000	2200000	chr1	2380000	2385000	3.879908050918868e-05	2.111212657236631
chr1	2195000	2200000	chr1	2535000	2540000	0.06100429797591425	3.6758347359905126
chr1	2195000	2200000	chr1	2585000	2590000	0.0871238774047069	2.111212657236631
chr1	2330000	2335000	chr1	3425000	3430000	0.1010593936207288	2.111212657236631
