chrom	start	end	score	bins
1	890000	1000000	117.7478084820023	11
1	1000000	1040000	160.38813344314096	4
1	1040000	1240000	146.2843618426227	20
1	1240000	1300000	156.1036603035553	6
1	1300000	1440000	163.95273856761605	14
1	1440000	1500000	137.35755657936596	6
1	1500000	1670000	185.38400005884813	17
1	1700000	1840000	398.5477667690015	14
1	1840000	1970000	303.3828097692299	13
1	1970000	2110000	384.1398355580257	14
1	2110000	2310000	245.82218140641285	20
1	2310000	2470000	143.46860494613287	16
1	2470000	2510000	141.0987317038658	4
1	2510000	2590000	196.44673778751408	8
1	2590000	3340000	433.4587581802632	75
1	3340000	3530000	275.9649144717772	19
1	3530000	3680000	192.04346761676123	15
1	3710000	3820000	239.05370580791808	11
1	3820000	4130000	309.97671419389275	31
1	4130000	5470000	226.69219565848957	134
1	5470000	6090000	395.5042422513605	62
1	6090000	6250000	251.11204419927938	16
1	6250000	6290000	140.35153713726072	4
1	6290000	6400000	148.7619612913832	11
1	6400000	6540000	142.30265055990213	14
1	6540000	6600000	141.8203035964474	6
1	6600000	6750000	289.80115553797606	15
1	6750000	6960000	232.16237912377704	21
1	6960000	7080000	196.80401215143553	12
1	7080000	7290000	236.31579517898572	21
1	7290000	7710000	275.17486522352425	42
1	7710000	7810000	210.26202161003994	10
1	7810000	8010000	327.3944643180162	20
1	8010000	8410000	281.34974959104954	40
1	8410000	8600000	197.21391704670782	19
1	8600000	8930000	196.14698614013471	33
1	8930000	9060000	174.46065982757585	13
1	9060000	9160000	138.17213165643062	10
1	9160000	9290000	161.18260584061542	13
1	9290000	9550000	208.34672458368127	26
1	9550000	9640000	149.49713689980672	9
1	9640000	9770000	189.76456477651405	13
1	9770000	9820000	165.60091378303616	5
1	9820000	9930000	141.75791212295294	11
1	9930000	10000000	120.75312903921538	7
1	10000000	10090000	124.29858384697934	9
1	10090000	10430000	181.02458151180565	34
1	10430000	10480000	119.03981129770277	5
1	10480000	10550000	199.29225189674833	7
1	10550000	11020000	321.53040509206073	47
1	11020000	11070000	169.52299334357977	5
1	11070000	11330000	366.53483894307686	26
1	11330000	11700000	204.2809055606595	37
1	11700000	11860000	234.95651511960216	16
1	11860000	11960000	173.87736518330433	10
1	11960000	12030000	137.6456762765041	7
1	12030000	12140000	165.59946506988902	11
1	12140000	12280000	253.03482662891867	14
1	12280000	13960000	558.0482152946054	168
1	13960000	14150000	328.44250803727675	19
1	14150000	14300000	252.36083038145864	15
1	14300000	14920000	272.13552498618645	62
1	14920000	15430000	270.4500950593407	51
1	15430000	15630000	244.25646981583697	20
1	15630000	15770000	172.14343172842052	14
1	15770000	15840000	235.70477221762692	7
1	15840000	16100000	320.93300058015353	26
1	16100000	16330000	182.0869056416276	23
1	16330000	16390000	107.52484474834317	6
1	16390000	16520000	209.2385347965076	13
1	16520000	16570000	110.91452608236446	5
1	16570000	16680000	153.975032220684	11
1	16680000	16760000	154.72395771334277	8
1	16760000	16870000	326.40019731924605	11
1	16870000	17220000	280.3993171050578	35
1	17220000	17370000	256.23501209194	15
1	17370000	17440000	123.73915672452068	7
1	17440000	17720000	222.24264239314965	28
1	17720000	17810000	215.5537936581673	9
1	17810000	17950000	253.8702048026679	14
1	17950000	18430000	242.39324123934665	48
1	18430000	18540000	222.12851965629946	11
1	18540000	18910000	250.63346716807757	37
1	18910000	19190000	312.4691978042699	28
1	19190000	19380000	187.13005811597284	19
1	19380000	19570000	217.22244404275838	19
1	19570000	19630000	193.1609449491178	6
1	19630000	19810000	142.488443311016	18
1	19810000	19980000	134.88956295335163	17
1	19980000	20030000	173.43202942314284	5
1	20030000	20200000	317.7558438987403	17
1	20200000	20400000	152.81332482570343	20
1	20400000	20530000	144.8611502828175	13
1	20530000	20690000	172.4530647110031	16
1	20690000	20830000	169.17755907533416	14
1	20830000	20980000	279.3574189397818	15
1	20980000	21110000	242.25658904169342	13
1	21110000	21520000	250.3116441368934	41
1	21520000	21690000	211.8816119027507	17
1	21690000	21810000	128.35678124335467	12
1	21810000	21980000	230.85589857094686	17
1	21980000	22110000	215.77324565502818	13
1	22110000	22340000	148.9193272205628	23
1	22340000	22430000	328.7799312398782	9
1	22430000	22740000	228.75244067658824	31
1	22740000	22980000	208.707367832323	24
1	22980000	23290000	310.69262221902505	31
1	23290000	23410000	155.4597132705882	12
1	23410000	23520000	149.22946898736166	11
1	23520000	23600000	124.04520338318363	8
1	23600000	23720000	192.0863183051603	12
1	23720000	23800000	159.71103911308765	8
1	23800000	23860000	130.04693613861164	6
1	23860000	24010000	177.41273256360896	15
1	24010000	24090000	123.61823384763868	8
1	24090000	24450000	390.19467146042376	36
1	24450000	24710000	122.76805358029902	26
1	24710000	24960000	153.27876984365858	25
1	24960000	25160000	317.2566791523709	20
1	25160000	25240000	138.64660458469777	8
1	25240000	25370000	174.0108726715135	13
1	25370000	25550000	131.58417454513742	18
1	25550000	25650000	192.58512746787827	10
1	25650000	25840000	230.47387276482303	19
1	25840000	26140000	198.91827111648624	30
